No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts
19,Digital CH,3.Chicago 2,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Chicago 2,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
20,Digital CH,3.DCI Bridge,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: DCI Bridge,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
21,Digital CH,3.Echolink/IRL,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Echo/IRLP,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
22,Digital CH,3.Illinois,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Illinois,Statewide1,Priority Contacts: Alabama,Priority Contacts: Alaska,Priority Contacts: Arizona,Priority Contacts: Arkansas,Priority Contacts: California,Priority Contacts: Colorado,Priority Contacts: Connecticut,Priority Contacts: Deleware,Priority Contacts: D.C.,Priority Contacts: Florida,Priority Contacts: Georgia,Priority Contacts: Hawaii,Priority Contacts: Idaho,Priority Contacts: Illinois,Priority Contacts: Indiana,Priority Contacts: Iowa,Priority Contacts: Kansas,Priority Contacts: Kentucky,Priority Contacts: Louisiana,Priority Contacts: Maine,Priority Contacts: Maryland,Priority Contacts: Massachusetts,Priority Contacts: Michigan,Priority Contacts: Minnesota,,,,,,,,,,No,No,No,OFF,TX Contact
23,Digital CH,3.Local,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
24,Digital CH,3.Massachusett,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Massachusetts,Statewide1,Priority Contacts: Alabama,Priority Contacts: Alaska,Priority Contacts: Arizona,Priority Contacts: Arkansas,Priority Contacts: California,Priority Contacts: Colorado,Priority Contacts: Connecticut,Priority Contacts: Deleware,Priority Contacts: D.C.,Priority Contacts: Florida,Priority Contacts: Georgia,Priority Contacts: Hawaii,Priority Contacts: Idaho,Priority Contacts: Illinois,Priority Contacts: Indiana,Priority Contacts: Iowa,Priority Contacts: Kansas,Priority Contacts: Kentucky,Priority Contacts: Louisiana,Priority Contacts: Maine,Priority Contacts: Maryland,Priority Contacts: Massachusetts,Priority Contacts: Michigan,Priority Contacts: Minnesota,,,,,,,,,,No,No,No,OFF,TX Contact
25,Digital CH,3.Metro,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
26,Digital CH,3.Michigan,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Michigan,Statewide1,Priority Contacts: Alabama,Priority Contacts: Alaska,Priority Contacts: Arizona,Priority Contacts: Arkansas,Priority Contacts: California,Priority Contacts: Colorado,Priority Contacts: Connecticut,Priority Contacts: Deleware,Priority Contacts: D.C.,Priority Contacts: Florida,Priority Contacts: Georgia,Priority Contacts: Hawaii,Priority Contacts: Idaho,Priority Contacts: Illinois,Priority Contacts: Indiana,Priority Contacts: Iowa,Priority Contacts: Kansas,Priority Contacts: Kentucky,Priority Contacts: Louisiana,Priority Contacts: Maine,Priority Contacts: Maryland,Priority Contacts: Massachusetts,Priority Contacts: Michigan,Priority Contacts: Minnesota,,,,,,,,,,No,No,No,OFF,TX Contact
27,Digital CH,3.Minnisota,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Minnesota,Statewide1,Priority Contacts: Alabama,Priority Contacts: Alaska,Priority Contacts: Arizona,Priority Contacts: Arkansas,Priority Contacts: California,Priority Contacts: Colorado,Priority Contacts: Connecticut,Priority Contacts: Deleware,Priority Contacts: D.C.,Priority Contacts: Florida,Priority Contacts: Georgia,Priority Contacts: Hawaii,Priority Contacts: Idaho,Priority Contacts: Illinois,Priority Contacts: Indiana,Priority Contacts: Iowa,Priority Contacts: Kansas,Priority Contacts: Kentucky,Priority Contacts: Louisiana,Priority Contacts: Maine,Priority Contacts: Maryland,Priority Contacts: Massachusetts,Priority Contacts: Michigan,Priority Contacts: Minnesota,,,,,,,,,,No,No,No,OFF,TX Contact
28,Digital CH,3.Mountain Reg,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Mountain,Regional,Priority Contacts: Allstar Link,Priority Contacts: MW Region,Priority Contacts: NE Region,Priority Contacts: SE Region,Priority Contacts: SE Region,Priority Contacts: SW Region,Priority Contacts: Mountain,Priority Contacts: S.Plains,Priority Contacts: Cactus,Priority Contacts: BM Call Area 5,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
29,Digital CH,3.NA,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: North America,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
30,Digital CH,3.NE Regional,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NE Region,Regional,Priority Contacts: Allstar Link,Priority Contacts: MW Region,Priority Contacts: NE Region,Priority Contacts: SE Region,Priority Contacts: SE Region,Priority Contacts: SW Region,Priority Contacts: Mountain,Priority Contacts: S.Plains,Priority Contacts: Cactus,Priority Contacts: BM Call Area 5,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
31,Digital CH,3.Ohio,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Ohio,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
32,Digital CH,3.Parrot,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Parrot,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
33,Digital CH,3.SE Regional,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: SE Region,Regional,Priority Contacts: Allstar Link,Priority Contacts: MW Region,Priority Contacts: NE Region,Priority Contacts: SE Region,Priority Contacts: SE Region,Priority Contacts: SW Region,Priority Contacts: Mountain,Priority Contacts: S.Plains,Priority Contacts: Cactus,Priority Contacts: BM Call Area 5,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
